;;;;;;;Human;Human;Human;Elenco;Elenco;Elenco;Espião Estatístico;Espião Estatístico;Espião Estatístico;UFMG;UFMG;UFMG;Chance de Gol;Chance de Gol;Chance de Gol;Five-Thirty-Eight;Five-Thirty-Eight;Five-Thirty-Eight;MaiaE0;MaiaE0;MaiaE0;Betting House;Betting House;Betting House
date;round;home_team;home_score;away_score;away_team;result;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A
29/05/2021;1;Cuiabá;2;2;Juventude;D;0.6;0.2;0.2;0.54;0.25;0.21;0.45;0.31;0.24;0.4;0.3;0.3;0.404;0.277;0.318;0.46;0.26;0.29;;;;0.4661;0.3007;0.233
29/05/2021;1;Bahia;3;0;Santos;H;0.45;0.35;0.2;0.38;0.28;0.34;0.39;0.3;0.31;0.4;0.3;0.3;0.521;0.24;0.239;0.38;0.25;0.37;0.390369054091568;0.25762158108475;0.352009364823682;0.4664;0.2743;0.2591
29/05/2021;1;São Paulo;0;0;Fluminense;D;0.55;0.3;0.15;0.51;0.26;0.23;0.44;0.28;0.28;0.4;0.3;0.3;0.579;0.217;0.204;0.48;0.25;0.27;0.518823030710099;0.261357873237273;0.219819096052628;0.5333;0.2592;0.2074
30/05/2021;1;Atlético-MG;1;2;Fortaleza;A;0.7;0.2;0.1;0.64;0.22;0.14;0.5;0.28;0.22;0.4;0.3;0.3;0.505;0.27;0.225;0.63;0.21;0.16;0.584475933193313;0.231680412176831;0.183843654629856;0.6865;0.1697;0.1436
30/05/2021;1;Flamengo;1;0;Palmeiras;H;0.55;0.3;0.15;0.51;0.26;0.23;0.57;0.24;0.19;0.4;0.3;0.3;0.484;0.248;0.268;0.57;0.22;0.21;0.499427289102885;0.241143773876783;0.259428937020332;0.5806;0.2493;0.1699
30/05/2021;1;Ceará;3;2;Grêmio;H;0.325;0.35;0.325;0.35;0.28;0.37;0.36;0.28;0.36;0.4;0.3;0.3;0.377;0.262;0.361;0.34;0.25;0.41;0.366955083877457;0.2730912943182;0.359953621804343;0.3037;0.3037;0.3924
30/05/2021;1;Corinthians;0;1;Atlético-GO;A;0.6;0.2;0.2;0.63;0.22;0.15;0.44;0.25;0.31;0.4;0.3;0.3;0.467;0.265;0.268;0.53;0.25;0.22;0.488855485829346;0.286314528343921;0.224829985826733;0.514;0.2687;0.2172
30/05/2021;1;Chapecoense;0;3;Bragantino;A;0.3;0.3;0.4;0.36;0.28;0.36;0.34;0.29;0.37;0.4;0.3;0.3;0.311;0.309;0.38;0.27;0.24;0.49;0.260173258504635;0.292035798785033;0.447790942710332;0.3022;0.3022;0.3954
30/05/2021;1;Athletico-PR;1;0;América-MG;H;0.45;0.35;0.2;0.65;0.21;0.14;0.39;0.27;0.34;0.4;0.3;0.3;0.358;0.331;0.311;0.59;0.23;0.18;0.622488644725438;0.26339245630694;0.114118898967622;0.4916;0.2747;0.2335
